"PREF","10歳未満","10代","20代","30代","40代","50代","60代","70代","80代","90歳以上"
"全国",9833014,11204880,12822884,14374823,18425929,16811709,15510948,16227435,9058542,2384022
"北海道",354377,426648,461395,545877,733566,697270,732742,736719,422416,115593
"青森県",83355,104454,98992,122752,166674,171050,194399,180256,109971,27712
"岩手県",83707,105042,98478,120975,160380,158359,182353,167458,112040,32031
"宮城県",173531,203398,225582,267825,330788,291259,306191,276895,161397,45123
"秋田県",57254,75475,67505,88985,122904,123914,157879,147053,100750,29569
"山形県",75322,94240,86395,107710,136845,133270,160668,146067,97632,31413
"福島県",135218,165614,166828,196004,244926,238092,279440,241746,149071,45120
"茨城県",216319,262645,280728,322516,417271,377084,388786,389464,200343,52519
"栃木県",147309,177148,186184,221071,284538,251948,265985,254446,130562,36210
"群馬県",143618,180030,191674,206795,280655,255792,252091,265952,141222,40272
"埼玉県",571123,651312,784843,866712,1139957,1016376,851765,954453,466375,90883
"千葉県",480176,553000,665860,735951,956982,860371,737455,826084,417163,89850
"東京都",1072483,1063408,1734132,1946804,2230622,1956841,1380273,1435198,825115,198453
"神奈川県",713509,803892,1001336,1091022,1441087,1346799,1005754,1098776,586815,131216
"新潟県",157415,191043,189113,226810,300391,282450,313242,305831,188295,58584
"富山県",74247,91700,96002,104648,149674,132929,133161,154942,84778,25593
"石川県",88958,105066,111848,118284,163115,143149,140143,156778,80854,24461
"福井県",61170,73008,73381,81623,105098,97580,101949,102623,59483,18668
"山梨県",59804,74066,77473,82587,110128,112624,110501,109485,63843,20486
"長野県",155871,190596,182348,205303,287163,268762,266040,284560,172558,58536
"岐阜県",155019,189988,193254,208577,281793,262537,255013,276322,153603,40685
"静岡県",279919,334969,344025,398135,520710,486841,473461,498029,277048,73123
"愛知県",644428,712534,846597,915716,1143677,1010826,812766,898814,469781,103663
"三重県",137043,165507,175314,191672,253198,237696,224706,240940,137560,36921
"滋賀県",125282,142211,145171,163940,210244,181333,166824,170347,88811,24680
"京都府",191290,225615,262374,270758,367984,333291,292217,349965,187764,49284
"大阪府",680921,777863,979470,1014384,1322085,1219649,958924,1146208,612582,127425
"兵庫県",436665,506395,539333,594854,801037,748684,667098,731595,396998,100966
"奈良県",98725,122947,123023,133547,185032,179992,173144,196931,104701,26697
"和歌山県",67758,81692,82016,92574,124528,125203,127637,138519,81158,23347
"鳥取県",44650,50502,47353,58234,74205,66546,78780,74402,46059,16057
"島根県",53145,60387,55473,66314,85954,78174,93461,95807,62215,21885
"岡山県",153423,175364,188994,204347,263152,228793,231997,257113,146123,44485
"広島県",229631,259011,278074,306973,402673,352344,340746,378670,203828,60483
"山口県",98825,118602,114789,130904,179283,162944,184948,208448,121474,35893
"徳島県",52892,62177,61757,75063,98157,91356,105497,105781,62855,19414
"香川県",75516,88533,89154,102360,138143,118116,125424,136156,76617,23877
"愛媛県",99945,119734,115256,136791,183593,169678,186734,193938,114494,36056
"高知県",48414,58947,55360,66329,93623,86456,97990,107421,64346,22281
"福岡県",444576,474078,532495,598708,733381,628330,638197,630740,347756,95909
"佐賀県",70496,79942,74484,86670,105839,99030,115725,103224,63131,19681
"長崎県",107337,121217,108112,132289,167792,168351,199725,182322,114094,34699
"熊本県",150496,163582,154899,186424,224560,212905,247677,225695,145598,46809
"大分県",88348,101871,99366,116122,150515,136048,159658,161508,97874,30431
"宮崎県",91290,102324,88267,110154,140153,129606,158993,146557,91648,28249
"鹿児島県",137810,150774,129463,168092,201001,195992,244771,206687,137509,45418
"沖縄県",164287,166153,155599,182520,209387,183944,187462,130307,82170,23289
