sichoson,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20
千葉市,17114,17116,17116,17117,17119,17123,17141,17168,17211,17252,17315,17363,17415,17539,17723,17918,18145,18391,18576,18865,19181,19545,19938,20480,20961,21430,22026,22713,23472,24232,25082,25841,26226,27122,28020,28959,29964,30970,31665,32123,33104,34002,34847,35749,36047,36823,37218,38061,38806,39547,40216
銚子市,605,605,605,606,606,606,610,614,619,622,622,626,628,630,635,642,643,646,655,667,683,693,704,712,732,743,760,774,785,800,805,819,828,840,852,864,889,913,928,944,967,982,1032,1042,1052,1064,1091,1110,1140,1153,1189
市川市,10507,10508,10510,10510,10519,10532,10540,10563,10563,10601,10621,10665,10716,10827,10921,11026,11126,11289,11451,11602,11881,12127,12389,12586,12932,13132,13498,13907,14288,14657,14937,15357,15725,16044,16628,17013,17285,17588,18089,18537,19025,19485,19674,20004,20220,20674,21129,21585,21934,22339,22671
船橋市,12516,12518,12523,12527,12538,12549,12572,12591,12612,12643,12668,12707,12773,12875,12970,13053,13162,13324,13503,13745,14066,14472,14721,14975,15420,15694,16120,16561,17059,17406,17832,18217,18683,19239,19877,20344,21202,21988,22756,23646,24440,25266,25722,26115,26593,27067,27746,28513,29190,29764,30248
館山市,369,369,369,369,369,370,370,370,370,370,370,372,374,379,386,408,410,415,423,437,453,457,481,487,491,500,519,536,556,575,583,594,609,628,647,659,694,712,722,743,764,778,795,805,809,825,863,871,903,913,924
木更津市,1717,1717,1722,1727,1729,1734,1740,1746,1755,1767,1769,1794,1807,1824,1858,1873,1889,1946,1966,2004,2067,2090,2146,2204,2252,2309,2384,2432,2497,2541,2612,2681,2745,2824,2926,2986,3067,3096,3176,3257,3377,3483,3527,3619,3719,3783,3873,3967,4052,4106,4199
松戸市,8910,8910,8910,8911,8912,8912,8921,8937,8961,8972,8982,9007,9055,9105,9159,9230,9297,9341,9460,9549,9637,9810,9950,10372,10802,10938,11374,11656,11676,12355,12701,12919,13302,13821,14370,14800,15182,15777,16265,16613,17257,17840,18088,18364,18578,19130,19530,20186,20620,21071,21536
野田市,1931,1931,1931,1931,1931,1932,1936,1938,1948,1955,1964,1969,1974,1989,1999,2016,2034,2037,2063,2086,2121,2156,2203,2250,2275,2333,2369,2425,2505,2564,2605,2643,2694,2758,2886,2983,3077,3118,3194,3303,3465,3616,3798,3980,4072,4217,4289,4383,4511,4587,4785
茂原市,788,788,788,789,789,790,791,792,795,801,811,817,829,841,858,870,870,893,915,945,968,990,1036,1056,1079,1092,1134,1165,1203,1243,1286,1322,1335,1403,1445,1501,1543,1591,1633,1656,1698,1749,1803,1841,1862,1900,1913,1974,2009,2040,2074
成田市,1826,1826,1826,1826,1827,1828,1830,1851,1859,1863,1866,1873,1880,1883,1911,1931,1935,1995,2019,2036,2061,2071,2074,2078,2157,2225,2293,2332,2375,2411,2413,2440,2519,2557,2616,2641,2668,2675,2759,2918,3174,3255,3309,3454,3536,3633,3764,3879,4010,4101,4205
