PREF,POP,FLU,AGING70
東京都,13988129,2.1764644308884,7.4133611691023
神奈川県,9231177,1.95084641284943,7.4258872651357
大阪府,8797153,2.11000459406493,7.97703549060543
愛知県,7512158,1.93820691901071,7.27557411273486
埼玉県,7339417,2.21803781089898,7.11273486430063
千葉県,6272900,2.20591296863824,7.70146137787056
兵庫県,5425850,2.26935467925867,8.80375782881002
北海道,5184048,2.86351556457569,10.0187891440501
福岡県,5122687,2.4321328673362,8.55323590814196
静岡県,3600055,2.71261797733207,9.32985386221294
茨城県,2848134,2.85411226964254,8.51565762004175
広島県,2775469,2.08162897401155,9.22964509394572
京都府,2556882,2.52437762050698,9.01670146137787
宮城県,2286475,2.44077726926454,8.96659707724426
新潟県,2171686,2.12884607556365,11.0334029227557
長野県,2029541,2.43395595512936,11.1711899791232
岐阜県,1957534,2.23639080954403,9.46764091858038
群馬県,1922335,3.26409767330965,9.25469728601253
栃木県,1918187,3.07961688987619,8.34029227557411
岡山県,1872271,1.99450456789621,10.1189979123173
福島県,1807602,3.3527398654346,10.544885177453
三重県,1754570,2.49549607178372,9.54279749478079
熊本県,1725364,3.46579747733498,10.8956158663883
鹿児島県,1574592,3.76694715662272,11.3465553235908
沖縄県,1469335,2.28480294950599,6.9874739039666
滋賀県,1408669,2.45248341193643,7.77661795407098
山口県,1323908,3.25302830292915,11.3590814196242
愛媛県,1317405,2.51319485232117,10.9582463465553
奈良県,1313370,2.5370258372538,9.17954070981211
長崎県,1293954,3.33207529614273,10.8705636743215
青森県,1217989,3.36545786544623,10.8079331941545
岩手県,1193046,3.08600205860631,11.5093945720251
石川県,1123149,1.68467559504771,9.20459290187891
大分県,1112771,3.21108856077832,11.133611691023
宮崎県,1059438,3.97560784131286,10.9832985386221
山形県,1051974,2.58919755060741,12.098121085595
富山県,1022770,2.51289827344572,10.5323590814196
秋田県,941748,3.20841062799123,13.2881002087683
香川県,940091,2.24554114014224,10.60751565762
和歌山県,911229,2.87664354126808,10.8705636743215
佐賀県,804592,3.36503916585737,10.2066805845511
山梨県,804245,2.94311210099965,10.3194154488518
福井県,758567,2.36654532132286,10.3695198329854
徳島県,709786,2.87698373468403,11.3590814196242
高知県,682170,3.56701810294195,12.2484342379958
島根県,663290,3.53399317287059,12.8246346555324
鳥取県,547547,2.70147882368677,11.3340292275574
